fault,formula,fitness
if,Jaccard,1.85
if,Ochiai,5.18
if,Tarntula,5.27
if,AMPLE,2.78
if,Wong1,2.77
if,Wong2,4.49
if,Wong3,2.31
if,Op1,3.08
if,Op2,1.70
if,gp2,2.69
if,gp3,2.62
if,gp13,1.70
if,gp19,2.01
method_call,Jaccard,1.09
method_call,Ochiai,4.17
method_call,Tarntula,5.52
method_call,AMPLE,1.00
method_call,Wong1,3.29
method_call,Wong2,1.72
method_call,Wong3,1.49
method_call,Op1,1.71
method_call,Op2,1.06
method_call,gp2,1.74
method_call,gp3,1.58
method_call,gp13,1.06
method_call,gp19,0.86
sequence,Jaccard,2.10
sequence,Ochiai,2.46
sequence,Tarntula,2.72
sequence,AMPLE,1.36
sequence,Wong1,3.14
sequence,Wong2,1.51
sequence,Wong3,1.96
sequence,Op1,2.07
sequence,Op2,1.96
sequence,gp2,1.75
sequence,gp3,1.71
sequence,gp13,2.07
sequence,gp19,2.33
assignment,Jaccard,1.85
assignment,Ochiai,3.10
assignment,Tarntula,3.16
assignment,AMPLE,2.37
assignment,Wong1,2.92
assignment,Wong2,3.52
assignment,Wong3,2.48
assignment,Op1,2.77
assignment,Op2,1.95
assignment,gp2,2.22
assignment,gp3,4.06
assignment,gp13,2.28
assignment,gp19,2.16
