fault,formula,fitness
if,Jaccard,1.8478581206679952
if,Ochiai,5.184722021274582
if,Tarntula,5.26578045708167
if,AMPLE,2.7776054969010713
if,Wong1,2.7726434144317524
if,Wong2,4.487595208704526
if,Wong3,2.3116877137441523
if,Op1,3.0779418155831384
if,Op2,1.7018220296205189
method_call,Jaccard,1.0940026353225585
method_call,Ochiai,4.168407393344637
method_call,Tarntula,5.521175587249665
method_call,AMPLE,0.9988166325558222
method_call,Wong1,3.293842210900378
method_call,Wong2,1.7198238183989398
method_call,Wong3,1.4927875642280053
method_call,Op1,1.7075396209146172
method_call,Op2,1.0573736082372855
sequence,Jaccard,2.0983925411003668
sequence,Ochiai,2.45922632626793
sequence,Tarntula,2.7209051836721327
sequence,AMPLE,1.3590046645984966
sequence,Wong1,3.1422072942780694
sequence,Wong2,1.509739175827298
sequence,Wong3,1.957307517235174
sequence,Op1,2.070240048431745
sequence,Op2,1.9555611314684687
assignment,Jaccard,1.8501537769289094
assignment,Ochiai,3.0984554173772128
assignment,Tarntula,3.16022946539592
assignment,AMPLE,2.371789544348361
assignment,Wong1,2.919960346286542
assignment,Wong2,3.522183500062707
assignment,Wong3,2.4758245314560217
assignment,Op1,2.7712543431639167
assignment,Op2,1.9521944917065968
