Formula Name, Formula, Test results, Train results.
IF_GP_1,"sub(add(sub(mul(add(sub(mul(div(1, sub(mul(1, nf), sqrt(ep))), nf), np), mul(ef, mul(div(sub(sub(ef, nf), sub(1, ef)), sub(np, ef)), ef))), add(nf, nf)), sub(div(np, np), div(div(nf, 1), 1))), mul(ef, mul(div(sub(sub(div(1, nf), nf), nf), 1), nf))), mul(sub(ep, div(div(mul(div(sub(sub(ef, nf), sub(1, ef)), sub(np, ef)), ef), 1), 1)), mul(ep, 1)))",4.22521,1.06842
IF_GP_2,"sub(div(add(sub(sqrt(add(nf, ep)), add(add(sqrt(nf), ep), add(sqrt(sqrt(nf)), sqrt(sub(ef, add(nf, ep)))))), sqrt(1)), sqrt(add(div(sqrt(add(div(add(sqrt(nf), nf), ep), add(ep, ep))), ep), add(ep, ep)))), mul(ef, mul(add(div(add(sqrt(ep), nf), ep), add(ep, ep)), sqrt(nf))))",4.32597,1.21975
IF_GP_3,"div(div(div(div(mul(sub(sqrt(1), div(np, nf)), mul(sub(div(sqrt(1), div(ep, np)), sub(sqrt(1), div(np, nf))), nf)), ep), nf), mul(sqrt(mul(mul(mul(1, nf), np), mul(mul(mul(np, mul(nf, sqrt(1))), mul(1, ef)), np))), nf)), sub(div(add(add(div(add(ep, div(np, nf)), div(np, np)), sub(div(ep, div(np, np)), sqrt(nf))), sub(div(sqrt(1), div(ep, np)), sub(sqrt(1), div(np, nf)))), div(np, np)), sub(sqrt(nf), div(div(np, nf), add(ep, sub(div(add(ep, div(div(np, ep), nf)), div(mul(np, nf), div(sub(np, nf), div(np, np)))), div(div(nf, ep), nf)))))))",3.38525,0.70773
IF_GP_4,"sub(mul(sub(sub(sub(sub(ef, add(ef, ef)), mul(nf, mul(mul(ep, ef), mul(nf, np)))), ef), mul(mul(mul(ep, mul(np, ep)), mul(mul(add(np, nf), nf), ep)), np)), mul(ep, ef)), mul(np, nf))",5.12611,1.37633
IF_GP_5,"sqrt(add(add(add(sqrt(sqrt(sqrt(sqrt(sub(ef, np))))), np), sqrt(sqrt(sqrt(sqrt(sqrt(sub(ef, sqrt(ep)))))))), add(add(sqrt(sqrt(sqrt(sqrt(sub(ef, ep))))), sqrt(sqrt(sqrt(sub(ef, sub(ef, div(ep, np))))))), sqrt(sqrt(sub(ef, sub(add(nf, np), div(np, np))))))))",6.32021,2.05540
IF_GP_6,"div(mul(add(add(div(np, ef), div(np, div(np, div(mul(div(1, ef), np), sub(sub(div(1, ef), ep), ep))))), sqrt(div(div(np, 1), ep))), sub(sub(ep, div(1, ef)), div(ep, 1))), sub(sub(add(np, nf), div(sqrt(sqrt(ef)), div(mul(nf, np), sub(div(np, div(mul(div(1, ef), np), sub(mul(nf, ef), sqrt(np)))), mul(div(np, div(ef, ef)), np))))), np))",2.96611,0.82197
IF_GP_7,"sub(sub(add(sqrt(add(sub(add(sqrt(ef), ep), mul(mul(ep, ep), nf)), add(sqrt(mul(mul(1, ep), mul(ep, ep))), sub(add(ef, ep), mul(ep, sqrt(add(ef, ef))))))), ep), mul(ep, mul(1, ep))), mul(mul(mul(ef, mul(nf, ep)), sqrt(add(mul(1, ep), mul(ep, mul(nf, ep))))), mul(add(mul(mul(mul(add(ep, mul(ef, mul(nf, ep))), mul(nf, 1)), 1), mul(add(mul(nf, ef), mul(1, ep)), ep)), add(sub(mul(mul(ef, ep), mul(mul(nf, ep), nf)), mul(mul(ep, ep), nf)), add(sqrt(ef), ep))), ep)))",5.55630,1.36072
IF_GP_8,"add(div(sqrt(sub(sub(mul(sqrt(np), 1), mul(ep, nf)), ep)), div(sqrt(sqrt(sub(sub(mul(sqrt(np), 1), mul(ep, nf)), ep))), mul(sqrt(np), 1))), add(add(sqrt(sqrt(sqrt(ef))), sub(div(sub(div(div(sqrt(sqrt(1)), sqrt(sqrt(ep))), mul(sqrt(np), 1)), div(np, mul(sqrt(np), 1))), sqrt(nf)), mul(nf, mul(sqrt(mul(ep, mul(nf, div(nf, 1)))), ef)))), sub(div(sub(sqrt(ep), ef), nf), ep)))",5.43144,0.80910
IF_GP_9,"sub(sqrt(mul(sqrt(mul(sub(nf, np), add(sqrt(mul(sub(nf, np), np)), nf))), sqrt(mul(sub(nf, np), add(sqrt(mul(mul(sub(nf, np), np), np)), sqrt(mul(sub(nf, np), np))))))), nf)",5.20254,1.01265
IF_GP_10,"mul(mul(np, mul(add(nf, np), add(ef, div(add(mul(add(ef, np), add(ef, sqrt(sqrt(1)))), 1), div(ep, nf))))), sub(np, mul(div(add(add(ef, sqrt(sqrt(1))), mul(add(ef, np), add(ef, sqrt(sqrt(1))))), np), mul(sqrt(mul(mul(np, ep), mul(add(ef, sqrt(sqrt(1))), mul(nf, ef)))), mul(add(np, np), mul(add(ef, sqrt(1)), mul(sqrt(mul(np, ep)), mul(add(np, nf), mul(np, np)))))))))",3.95668,1.16537
ASGN_GP_1,"add(mul(ef, mul(mul(mul(mul(ef, mul(ef, mul(ef, mul(ef, mul(ef, ef))))), mul(mul(ef, mul(ef, mul(ef, ef))), div(sub(sub(sqrt(ep), sqrt(nf)), sqrt(nf)), mul(ef, ef)))), mul(ef, ef)), div(mul(ef, ef), mul(ef, mul(mul(ef, mul(ef, mul(ef, ef))), sqrt(ep)))))), sqrt(ep))",3.88693,1.26269
ASGN_GP_2,"div(sqrt(sub(sub(sub(sub(sub(sub(sub(sqrt(ep), ef), ef), ef), mul(ep, ef)), ef), mul(sub(ef, sub(ef, ep)), ef)), sqrt(nf))), sub(sub(sub(ef, sqrt(sqrt(nf))), sqrt(nf)), sqrt(sub(sub(sub(sub(sqrt(ep), sqrt(sqrt(nf))), ef), mul(sub(ef, sub(sqrt(sqrt(ef)), sqrt(sqrt(nf)))), ef)), sqrt(sqrt(sqrt(sqrt(nf))))))))",2.49081,0.71074
ASGN_GP_3,"add(sub(sub(sub(np, 1), mul(sub(ef, add(sqrt(1), div(ef, ep))), add(div(np, mul(1, add(sub(sub(ef, 1), sqrt(ep)), 1))), div(add(sqrt(ep), div(np, ep)), ep)))), add(sqrt(ep), ef)), mul(add(sqrt(1), mul(add(ef, add(ef, 1)), add(div(np, mul(np, add(sub(sub(np, 1), sqrt(ef)), 1))), add(sub(sub(np, 1), ef), sub(div(add(sqrt(ep), div(ef, ep)), ep), sub(nf, ep)))))), add(div(np, add(sqrt(ep), ef)), add(sqrt(ep), div(ef, ep)))))",2.99141,0.62822
ASGN_GP_4,"sub(sqrt(sub(np, sqrt(sub(mul(sqrt(sub(mul(add(np, ef), mul(ef, ef)), mul(mul(ef, nf), nf))), ef), mul(mul(sqrt(sub(nf, ef)), ef), sqrt(sub(sub(ep, ep), add(ep, 1)))))))), mul(nf, add(mul(sqrt(sub(mul(sqrt(sub(nf, 1)), ep), ep)), sqrt(sub(sub(ep, ep), ep))), mul(sqrt(sub(nf, ep)), add(1, add(mul(mul(ef, nf), nf), sqrt(ef)))))))",2.21989,0.64086
ASGN_GP_5,"sub(ef, div(mul(1, ep), sub(div(div(div(mul(div(div(ef, div(1, ep)), 1), add(ep, ep)), np), ef), mul(div(div(ef, ep), ef), add(1, ef))), ep)))",2.65554,1.18183
ASGN_GP_6,"add(add(sub(add(nf, add(sub(add(1, sqrt(nf)), mul(nf, mul(ef, mul(ef, nf)))), sqrt(np))), mul(ef, nf)), mul(add(sub(add(nf, add(1, sqrt(sqrt(nf)))), nf), ef), div(1, np))), add(sub(add(ef, add(1, ef)), mul(mul(mul(ef, nf), 1), add(nf, ef))), mul(add(nf, ef), div(1, np))))",2.45992,1.11688
ASGN_GP_7,"add(mul(mul(div(1, nf), sqrt(sub(div(np, ep), div(div(nf, nf), div(div(nf, div(1, nf)), div(nf, 1)))))), mul(div(div(nf, div(add(div(ep, div(1, nf)), 1), nf)), nf), mul(div(div(1, div(add(1, add(sub(1, ef), ep)), nf)), nf), ef))), sqrt(sub(div(np, ep), div(div(nf, nf), div(div(1, nf), nf)))))",3.78294,0.64505
ASGN_GP_8,"div(add(div(1, ep), div(sqrt(add(add(mul(1, sub(ef, add(1, 1))), sub(ef, add(1, ep))), 1)), add(1, ep))), mul(sqrt(ep), div(div(add(1, nf), ef), add(sqrt(add(sqrt(1), sub(div(1, sqrt(sqrt(ep))), add(ep, ep)))), ep))))",3.58687,1.07190
ASGN_GP_9,"sub(div(mul(sub(add(ep, nf), np), sub(mul(ef, sub(mul(ef, ef), np)), np)), mul(add(np, add(np, ep)), sub(ep, ef))), sub(sub(add(sub(sub(sub(ef, ef), ef), mul(sqrt(sub(sub(nf, ef), ef)), mul(ef, ef))), add(sub(ef, ef), sub(sub(add(sub(nf, ef), sqrt(nf)), mul(ef, mul(ef, ef))), add(np, ep)))), mul(sub(ef, add(ef, nf)), mul(mul(ef, ef), ef))), sub(ef, sqrt(add(sub(sub(nf, add(sub(add(np, ep), sub(ef, np)), nf)), ef), sub(sub(add(sub(add(np, ep), sub(ef, np)), nf), mul(ef, mul(ef, nf))), add(np, ep)))))))",2.85610,0.65862
ASGN_GP_10,"div(mul(sub(sub(sqrt(sub(div(ep, ep), sub(sqrt(sub(div(np, ep), 1)), sub(nf, 1)))), nf), nf), ef), sqrt(sqrt(mul(sub(sub(sub(sqrt(sqrt(ef)), nf), sub(nf, div(ep, ep))), sub(div(np, ep), sub(sqrt(sub(div(np, ep), np)), nf))), sqrt(mul(sub(sub(sub(sqrt(ef), div(np, ep)), nf), nf), sub(nf, ep)))))))",2.71407,0.66014
MC_GP_1,"div(sqrt(mul(np, sqrt(mul(sqrt(sqrt(mul(np, div(ef, div(nf, np))))), sqrt(sub(sqrt(mul(np, sqrt(ef))), ep)))))), add(mul(add(div(nf, np), mul(add(div(sqrt(add(np, ep)), np), mul(sqrt(ep), nf)), nf)), mul(add(ef, mul(np, nf)), div(sub(sqrt(mul(np, sqrt(ef))), ep), add(ef, np)))), div(ef, div(nf, np))))",1.50440,1.38382
MC_GP_2,"add(div(ef, add(add(add(mul(ef, mul(sub(ef, add(ef, mul(ef, ep))), sub(add(ef, ef), add(add(ef, ef), mul(ef, nf))))), add(ef, ef)), add(add(ef, add(mul(ef, ef), add(ef, ef))), add(mul(mul(ef, nf), sub(ef, ef)), add(ep, ef)))), add(ep, mul(sub(add(ef, ef), add(add(ef, ef), mul(ef, nf))), ep)))), add(ef, add(mul(mul(ef, nf), sub(add(ef, ef), add(add(ef, ef), mul(ef, nf)))), ef)))",1.66649,1.45469
MC_GP_3,"sub(np, mul(mul(np, add(nf, mul(mul(add(add(np, np), add(ef, mul(add(np, ep), add(ef, ef)))), add(ef, ep)), mul(nf, add(np, np))))), nf))",1.38306,1.45469
